name,codes,char,groupes,subgroupes
hundred points,1F4AF,💯,Smileys & Emotion,emotion
input numbers,1F522,🔢,Symbols,alphanum
thumbs up,1F44D,👍,People & Body,hand-fingers-closed
thumbs down,1F44E,👎,People & Body,hand-fingers-closed
1st place medal,1F947,🥇,Activities,award-medal
2nd place medal,1F948,🥈,Activities,award-medal
3rd place medal,1F949,🥉,Activities,award-medal
pool 8 ball,1F3B1,🎱,Activities,game
A button (blood type),1F170,🅰,Symbols,alphanum
AB button (blood type),1F18E,🆎,Symbols,alphanum
abacus,1F9EE,🧮,Objects,computer
input latin letters,1F524,🔤,Symbols,alphanum
input latin lowercase,1F521,🔡,Symbols,alphanum
Japanese “acceptable” button,1F251,🉑,Symbols,alphanum
adhesive bandage,1FA79,🩹,Objects,medical
person,1F9D1,🧑,People & Body,person
aerial tramway,1F6A1,🚡,Travel & Places,transport-air
airplane,2708,✈,Travel & Places,transport-air
alarm clock,23F0,⏰,Travel & Places,time
alembic,2697,⚗,Objects,science
alien,1F47D,👽,Smileys & Emotion,face-costume
ambulance,1F691,🚑,Travel & Places,transport-ground
amphora,1F3FA,🏺,Food & Drink,dishware
anchor,2693,⚓,Travel & Places,transport-water
baby angel,1F47C,👼,People & Body,person-fantasy
anger symbol,1F4A2,💢,Smileys & Emotion,emotion
angry face,1F620,😠,Smileys & Emotion,face-negative
anguished face,1F627,😧,Smileys & Emotion,face-concerned
ant,1F41C,🐜,Animals & Nature,animal-bug
red apple,1F34E,🍎,Food & Drink,food-fruit
Aquarius,2652,♒,Symbols,zodiac
Aries,2648,♈,Symbols,zodiac
reverse button,25C0,◀,Symbols,av-symbol
fast down button,23EC,⏬,Symbols,av-symbol
fast up button,23EB,⏫,Symbols,av-symbol
down arrow,2B07,⬇,Symbols,arrow
downwards button,1F53D,🔽,Symbols,av-symbol
play button,25B6,▶,Symbols,av-symbol
right arrow curving down,2935,⤵,Symbols,arrow
right arrow curving up,2934,⤴,Symbols,arrow
left arrow,2B05,⬅,Symbols,arrow
down-left arrow,2199,↙,Symbols,arrow
down-right arrow,2198,↘,Symbols,arrow
right arrow,27A1,➡,Symbols,arrow
left arrow curving right,21AA,↪,Symbols,arrow
up arrow,2B06,⬆,Symbols,arrow
up-down arrow,2195,↕,Symbols,arrow
upwards button,1F53C,🔼,Symbols,av-symbol
up-left arrow,2196,↖,Symbols,arrow
up-right arrow,2197,↗,Symbols,arrow
clockwise vertical arrows,1F503,🔃,Symbols,arrow
counterclockwise arrows button,1F504,🔄,Symbols,arrow
artist palette,1F3A8,🎨,Activities,arts & crafts
articulated lorry,1F69B,🚛,Travel & Places,transport-ground
satellite,1F6F0,🛰,Travel & Places,transport-air
person,1F9D1,🧑,People & Body,person
keycap: *,002A 20E3,*⃣,Symbols,keycap
astonished face,1F632,😲,Smileys & Emotion,face-concerned
person,1F9D1,🧑,People & Body,person
running shoe,1F45F,👟,Objects,clothing
ATM sign,1F3E7,🏧,Symbols,transport-sign
atom symbol,269B,⚛,Symbols,religion
auto rickshaw,1F6FA,🛺,Travel & Places,transport-ground
avocado,1F951,🥑,Food & Drink,food-vegetable
axe,1FA93,🪓,Objects,tool
B button (blood type),1F171,🅱,Symbols,alphanum
baby,1F476,👶,People & Body,person
baby bottle,1F37C,🍼,Food & Drink,drink
baby chick,1F424,🐤,Animals & Nature,animal-bird
baby symbol,1F6BC,🚼,Symbols,transport-sign
BACK arrow,1F519,🔙,Symbols,arrow
bacon,1F953,🥓,Food & Drink,food-prepared
badger,1F9A1,🦡,Animals & Nature,animal-mammal
badminton,1F3F8,🏸,Activities,sport
bagel,1F96F,🥯,Food & Drink,food-prepared
baggage claim,1F6C4,🛄,Symbols,transport-sign
baguette bread,1F956,🥖,Food & Drink,food-prepared
balance scale,2696,⚖,Objects,tool
man,1F468,👨,People & Body,person
woman,1F469,👩,People & Body,person
ballet shoes,1FA70,🩰,Objects,clothing
balloon,1F388,🎈,Activities,event
ballot box with ballot,1F5F3,🗳,Objects,mail
check box with check,2611,☑,Symbols,other-symbol
pine decoration,1F38D,🎍,Activities,event
banana,1F34C,🍌,Food & Drink,food-fruit
double exclamation mark,203C,‼,Symbols,other-symbol
banjo,1FA95,🪕,Objects,musical-instrument
bank,1F3E6,🏦,Travel & Places,place-building
bar chart,1F4CA,📊,Objects,office
barber pole,1F488,💈,Travel & Places,place-other
baseball,26BE,⚾,Activities,sport
basket,1F9FA,🧺,Objects,household
basketball,1F3C0,🏀,Activities,sport
person bouncing ball,26F9,⛹,People & Body,person-sport
person bouncing ball,26F9,⛹,People & Body,person-sport
bat,1F987,🦇,Animals & Nature,animal-mammal
person taking bath,1F6C0,🛀,People & Body,person-resting
bathtub,1F6C1,🛁,Objects,household
battery,1F50B,🔋,Objects,computer
beach with umbrella,1F3D6,🏖,Travel & Places,place-geographic
bear,1F43B,🐻,Animals & Nature,animal-mammal
man: beard,1F9D4,🧔,People & Body,person
bed,1F6CF,🛏,Objects,household
honeybee,1F41D,🐝,Animals & Nature,animal-bug
beer mug,1F37A,🍺,Food & Drink,drink
clinking beer mugs,1F37B,🍻,Food & Drink,drink
lady beetle,1F41E,🐞,Animals & Nature,animal-bug
Japanese symbol for beginner,1F530,🔰,Symbols,other-symbol
bell,1F514,🔔,Objects,sound
bellhop bell,1F6CE,🛎,Travel & Places,hotel
bento box,1F371,🍱,Food & Drink,food-asian
beverage box,1F9C3,🧃,Food & Drink,drink
person biking,1F6B4,🚴,People & Body,person-sport
bicycle,1F6B2,🚲,Travel & Places,transport-ground
person biking,1F6B4,🚴,People & Body,person-sport
person biking,1F6B4,🚴,People & Body,person-sport
bikini,1F459,👙,Objects,clothing
billed cap,1F9E2,🧢,Objects,clothing
biohazard,2623,☣,Symbols,warning
bird,1F426,🐦,Animals & Nature,animal-bird
birthday cake,1F382,🎂,Food & Drink,food-sweet
black circle,26AB,⚫,Symbols,geometric
black flag,1F3F4,🏴,Flags,flag
black heart,1F5A4,🖤,Smileys & Emotion,emotion
joker,1F0CF,🃏,Activities,game
black large square,2B1B,⬛,Symbols,geometric
black medium-small square,25FE,◾,Symbols,geometric
black medium square,25FC,◼,Symbols,geometric
black nib,2712,✒,Objects,writing
black small square,25AA,▪,Symbols,geometric
black square button,1F532,🔲,Symbols,geometric
person: blond hair,1F471,👱,People & Body,person
person: blond hair,1F471,👱,People & Body,person
person: blond hair,1F471,👱,People & Body,person
person: blond hair,1F471,👱,People & Body,person
blossom,1F33C,🌼,Animals & Nature,plant-flower
blowfish,1F421,🐡,Animals & Nature,animal-marine
blue book,1F4D8,📘,Objects,book-paper
sport utility vehicle,1F699,🚙,Travel & Places,transport-ground
blue heart,1F499,💙,Smileys & Emotion,emotion
blue square,1F7E6,🟦,Symbols,geometric
smiling face with smiling eyes,1F60A,😊,Smileys & Emotion,face-smiling
boar,1F417,🐗,Animals & Nature,animal-mammal
sailboat,26F5,⛵,Travel & Places,transport-water
bomb,1F4A3,💣,Smileys & Emotion,emotion
bone,1F9B4,🦴,People & Body,body-parts
open book,1F4D6,📖,Objects,book-paper
bookmark,1F516,🔖,Objects,book-paper
bookmark tabs,1F4D1,📑,Objects,book-paper
books,1F4DA,📚,Objects,book-paper
collision,1F4A5,💥,Smileys & Emotion,emotion
woman’s boot,1F462,👢,Objects,clothing
person bouncing ball,26F9,⛹,People & Body,person-sport
person bouncing ball,26F9,⛹,People & Body,person-sport
person bouncing ball,26F9,⛹,People & Body,person-sport
bouquet,1F490,💐,Animals & Nature,plant-flower
person bowing,1F647,🙇,People & Body,person-gesture
bow and arrow,1F3F9,🏹,Objects,tool
person bowing,1F647,🙇,People & Body,person-gesture
person bowing,1F647,🙇,People & Body,person-gesture
bowl with spoon,1F963,🥣,Food & Drink,food-prepared
bowling,1F3B3,🎳,Activities,sport
boxing glove,1F94A,🥊,Activities,sport
boy,1F466,👦,People & Body,person
brain,1F9E0,🧠,People & Body,body-parts
bread,1F35E,🍞,Food & Drink,food-prepared
breast-feeding,1F931,🤱,People & Body,person-role
brick,1F9F1,🧱,Travel & Places,place-building
bride with veil,1F470,👰,People & Body,person-role
bridge at night,1F309,🌉,Travel & Places,place-other
briefcase,1F4BC,💼,Objects,office
broccoli,1F966,🥦,Food & Drink,food-vegetable
broken heart,1F494,💔,Smileys & Emotion,emotion
broom,1F9F9,🧹,Objects,household
brown circle,1F7E4,🟤,Symbols,geometric
brown heart,1F90E,🤎,Smileys & Emotion,emotion
brown square,1F7EB,🟫,Symbols,geometric
bug,1F41B,🐛,Animals & Nature,animal-bug
building construction,1F3D7,🏗,Travel & Places,place-building
light bulb,1F4A1,💡,Objects,light & video
bullet train,1F685,🚅,Travel & Places,transport-ground
high-speed train,1F684,🚄,Travel & Places,transport-ground
burrito,1F32F,🌯,Food & Drink,food-prepared
bus,1F68C,🚌,Travel & Places,transport-ground
man in suit levitating,1F574,🕴,People & Body,person-activity
bus stop,1F68F,🚏,Travel & Places,transport-ground
bust in silhouette,1F464,👤,People & Body,person-symbol
busts in silhouette,1F465,👥,People & Body,person-symbol
butter,1F9C8,🧈,Food & Drink,food-prepared
butterfly,1F98B,🦋,Animals & Nature,animal-bug
cactus,1F335,🌵,Animals & Nature,plant-other
shortcake,1F370,🍰,Food & Drink,food-sweet
tear-off calendar,1F4C6,📆,Objects,office
call me hand,1F919,🤙,People & Body,hand-fingers-partial
mobile phone with arrow,1F4F2,📲,Objects,phone
two-hump camel,1F42B,🐫,Animals & Nature,animal-mammal
camera,1F4F7,📷,Objects,light & video
camera with flash,1F4F8,📸,Objects,light & video
camping,1F3D5,🏕,Travel & Places,place-geographic
Cancer,264B,♋,Symbols,zodiac
candle,1F56F,🕯,Objects,light & video
candy,1F36C,🍬,Food & Drink,food-sweet
canned food,1F96B,🥫,Food & Drink,food-prepared
canoe,1F6F6,🛶,Travel & Places,transport-water
input latin uppercase,1F520,🔠,Symbols,alphanum
Capricorn,2651,♑,Symbols,zodiac
automobile,1F697,🚗,Travel & Places,transport-ground
card file box,1F5C3,🗃,Objects,office
card index,1F4C7,📇,Objects,office
card index dividers,1F5C2,🗂,Objects,office
carousel horse,1F3A0,🎠,Travel & Places,place-other
carrot,1F955,🥕,Food & Drink,food-vegetable
person cartwheeling,1F938,🤸,People & Body,person-sport
cat face,1F431,🐱,Animals & Nature,animal-mammal
cat,1F408,🐈,Animals & Nature,animal-mammal
optical disk,1F4BF,💿,Objects,computer
chains,26D3,⛓,Objects,tool
chair,1FA91,🪑,Objects,household
bottle with popping cork,1F37E,🍾,Food & Drink,drink
chart increasing with yen,1F4B9,💹,Objects,money
chart decreasing,1F4C9,📉,Objects,office
chart increasing,1F4C8,📈,Objects,office
chequered flag,1F3C1,🏁,Flags,flag
cheese wedge,1F9C0,🧀,Food & Drink,food-prepared
cherries,1F352,🍒,Food & Drink,food-fruit
cherry blossom,1F338,🌸,Animals & Nature,plant-flower
chess pawn,265F,♟,Activities,game
chestnut,1F330,🌰,Food & Drink,food-vegetable
chicken,1F414,🐔,Animals & Nature,animal-bird
child,1F9D2,🧒,People & Body,person
children crossing,1F6B8,🚸,Symbols,warning
chipmunk,1F43F,🐿,Animals & Nature,animal-mammal
chocolate bar,1F36B,🍫,Food & Drink,food-sweet
chopsticks,1F962,🥢,Food & Drink,dishware
Christmas tree,1F384,🎄,Activities,event
church,26EA,⛪,Travel & Places,place-religious
cinema,1F3A6,🎦,Symbols,av-symbol
circus tent,1F3AA,🎪,Travel & Places,place-other
sunset,1F307,🌇,Travel & Places,place-other
cityscape at dusk,1F306,🌆,Travel & Places,place-other
cityscape,1F3D9,🏙,Travel & Places,place-other
CL button,1F191,🆑,Symbols,alphanum
clamp,1F5DC,🗜,Objects,tool
clapping hands,1F44F,👏,People & Body,hands
clapper board,1F3AC,🎬,Objects,light & video
classical building,1F3DB,🏛,Travel & Places,place-building
person climbing,1F9D7,🧗,People & Body,person-activity
person climbing,1F9D7,🧗,People & Body,person-activity
person climbing,1F9D7,🧗,People & Body,person-activity
clinking glasses,1F942,🥂,Food & Drink,drink
clipboard,1F4CB,📋,Objects,office
one o’clock,1F550,🕐,Travel & Places,time
ten o’clock,1F559,🕙,Travel & Places,time
ten-thirty,1F565,🕥,Travel & Places,time
eleven o’clock,1F55A,🕚,Travel & Places,time
eleven-thirty,1F566,🕦,Travel & Places,time
twelve o’clock,1F55B,🕛,Travel & Places,time
twelve-thirty,1F567,🕧,Travel & Places,time
one-thirty,1F55C,🕜,Travel & Places,time
two o’clock,1F551,🕑,Travel & Places,time
two-thirty,1F55D,🕝,Travel & Places,time
three o’clock,1F552,🕒,Travel & Places,time
three-thirty,1F55E,🕞,Travel & Places,time
four o’clock,1F553,🕓,Travel & Places,time
four-thirty,1F55F,🕟,Travel & Places,time
five o’clock,1F554,🕔,Travel & Places,time
five-thirty,1F560,🕠,Travel & Places,time
six o’clock,1F555,🕕,Travel & Places,time
six-thirty,1F561,🕡,Travel & Places,time
seven o’clock,1F556,🕖,Travel & Places,time
seven-thirty,1F562,🕢,Travel & Places,time
eight o’clock,1F557,🕗,Travel & Places,time
eight-thirty,1F563,🕣,Travel & Places,time
nine o’clock,1F558,🕘,Travel & Places,time
nine-thirty,1F564,🕤,Travel & Places,time
closed book,1F4D5,📕,Objects,book-paper
locked with key,1F510,🔐,Objects,lock
closed umbrella,1F302,🌂,Travel & Places,sky & weather
cloud,2601,☁,Travel & Places,sky & weather
cloud with lightning,1F329,🌩,Travel & Places,sky & weather
cloud with lightning and rain,26C8,⛈,Travel & Places,sky & weather
cloud with rain,1F327,🌧,Travel & Places,sky & weather
cloud with snow,1F328,🌨,Travel & Places,sky & weather
clown face,1F921,🤡,Smileys & Emotion,face-costume
club suit,2663,♣,Activities,game
coat,1F9E5,🧥,Objects,clothing
cocktail glass,1F378,🍸,Food & Drink,drink
coconut,1F965,🥥,Food & Drink,food-fruit
hot beverage,2615,☕,Food & Drink,drink
coffin,26B0,⚰,Objects,other-object
cold face,1F976,🥶,Smileys & Emotion,face-unwell
anxious face with sweat,1F630,😰,Smileys & Emotion,face-concerned
collision,1F4A5,💥,Smileys & Emotion,emotion
comet,2604,☄,Travel & Places,sky & weather
compass,1F9ED,🧭,Travel & Places,place-map
laptop,1F4BB,💻,Objects,computer
computer mouse,1F5B1,🖱,Objects,computer
confetti ball,1F38A,🎊,Activities,event
confounded face,1F616,😖,Smileys & Emotion,face-concerned
confused face,1F615,😕,Smileys & Emotion,face-concerned
Japanese “congratulations” button,3297,㊗,Symbols,alphanum
construction,1F6A7,🚧,Travel & Places,transport-ground
construction worker,1F477,👷,People & Body,person-role
construction worker,1F477,👷,People & Body,person-role
construction worker,1F477,👷,People & Body,person-role
control knobs,1F39B,🎛,Objects,music
convenience store,1F3EA,🏪,Travel & Places,place-building
person,1F9D1,🧑,People & Body,person
cookie,1F36A,🍪,Food & Drink,food-sweet
COOL button,1F192,🆒,Symbols,alphanum
police officer,1F46E,👮,People & Body,person-role
copyright,00A9,©,Symbols,other-symbol
ear of corn,1F33D,🌽,Food & Drink,food-vegetable
couch and lamp,1F6CB,🛋,Objects,household
woman and man holding hands,1F46B,👫,People & Body,family
couple with heart,1F491,💑,People & Body,family
red heart,2764,❤,Smileys & Emotion,emotion
red heart,2764,❤,Smileys & Emotion,emotion
red heart,2764,❤,Smileys & Emotion,emotion
kiss,1F48F,💏,People & Body,family
kiss mark,1F48B,💋,Smileys & Emotion,emotion
kiss mark,1F48B,💋,Smileys & Emotion,emotion
kiss mark,1F48B,💋,Smileys & Emotion,emotion
cow face,1F42E,🐮,Animals & Nature,animal-mammal
cow,1F404,🐄,Animals & Nature,animal-mammal
cowboy hat face,1F920,🤠,Smileys & Emotion,face-hat
crab,1F980,🦀,Food & Drink,food-marine
crayon,1F58D,🖍,Objects,writing
credit card,1F4B3,💳,Objects,money
crescent moon,1F319,🌙,Travel & Places,sky & weather
cricket,1F997,🦗,Animals & Nature,animal-bug
cricket game,1F3CF,🏏,Activities,sport
crocodile,1F40A,🐊,Animals & Nature,animal-reptile
croissant,1F950,🥐,Food & Drink,food-prepared
crossed fingers,1F91E,🤞,People & Body,hand-fingers-partial
crossed flags,1F38C,🎌,Flags,flag
crossed swords,2694,⚔,Objects,tool
crown,1F451,👑,Objects,clothing
crying face,1F622,😢,Smileys & Emotion,face-concerned
crying cat,1F63F,😿,Smileys & Emotion,cat-face
crystal ball,1F52E,🔮,Activities,game
cucumber,1F952,🥒,Food & Drink,food-vegetable
cup with straw,1F964,🥤,Food & Drink,drink
cupcake,1F9C1,🧁,Food & Drink,food-sweet
heart with arrow,1F498,💘,Smileys & Emotion,emotion
curling stone,1F94C,🥌,Activities,sport
man,1F468,👨,People & Body,person
woman,1F469,👩,People & Body,person
curly loop,27B0,➰,Symbols,other-symbol
currency exchange,1F4B1,💱,Objects,money
curry rice,1F35B,🍛,Food & Drink,food-asian
face with symbols on mouth,1F92C,🤬,Smileys & Emotion,face-negative
custard,1F36E,🍮,Food & Drink,food-sweet
customs,1F6C3,🛃,Symbols,transport-sign
cut of meat,1F969,🥩,Food & Drink,food-prepared
cyclone,1F300,🌀,Travel & Places,sky & weather
dagger,1F5E1,🗡,Objects,tool
woman dancing,1F483,💃,People & Body,person-activity
people with bunny ears,1F46F,👯,People & Body,person-activity
people with bunny ears,1F46F,👯,People & Body,person-activity
people with bunny ears,1F46F,👯,People & Body,person-activity
dango,1F361,🍡,Food & Drink,food-asian
sunglasses,1F576,🕶,Objects,clothing
direct hit,1F3AF,🎯,Activities,game
dashing away,1F4A8,💨,Smileys & Emotion,emotion
calendar,1F4C5,📅,Objects,office
deaf person,1F9CF,🧏,People & Body,person-gesture
deaf person,1F9CF,🧏,People & Body,person-gesture
deaf person,1F9CF,🧏,People & Body,person-gesture
deciduous tree,1F333,🌳,Animals & Nature,plant-other
deer,1F98C,🦌,Animals & Nature,animal-mammal
department store,1F3EC,🏬,Travel & Places,place-building
derelict house,1F3DA,🏚,Travel & Places,place-building
desert,1F3DC,🏜,Travel & Places,place-geographic
desert island,1F3DD,🏝,Travel & Places,place-geographic
desktop computer,1F5A5,🖥,Objects,computer
detective,1F575,🕵,People & Body,person-role
diamond with a dot,1F4A0,💠,Symbols,geometric
diamond suit,2666,♦,Activities,game
disappointed face,1F61E,😞,Smileys & Emotion,face-concerned
sad but relieved face,1F625,😥,Smileys & Emotion,face-concerned
diving mask,1F93F,🤿,Activities,sport
diya lamp,1FA94,🪔,Objects,light & video
dizzy,1F4AB,💫,Smileys & Emotion,emotion
dizzy face,1F635,😵,Smileys & Emotion,face-unwell
dna,1F9EC,🧬,Objects,science
no littering,1F6AF,🚯,Symbols,warning
dog face,1F436,🐶,Animals & Nature,animal-mammal
dog,1F415,🐕,Animals & Nature,animal-mammal
dollar banknote,1F4B5,💵,Objects,money
Japanese dolls,1F38E,🎎,Activities,event
dolphin,1F42C,🐬,Animals & Nature,animal-marine
door,1F6AA,🚪,Objects,household
doughnut,1F369,🍩,Food & Drink,food-sweet
dove,1F54A,🕊,Animals & Nature,animal-bird
dragon,1F409,🐉,Animals & Nature,animal-reptile
dragon face,1F432,🐲,Animals & Nature,animal-reptile
dress,1F457,👗,Objects,clothing
camel,1F42A,🐪,Animals & Nature,animal-mammal
drooling face,1F924,🤤,Smileys & Emotion,face-sleepy
drop of blood,1FA78,🩸,Objects,medical
droplet,1F4A7,💧,Travel & Places,sky & weather
drum,1F941,🥁,Objects,musical-instrument
duck,1F986,🦆,Animals & Nature,animal-bird
dumpling,1F95F,🥟,Food & Drink,food-asian
dvd,1F4C0,📀,Objects,computer
e-mail,1F4E7,📧,Objects,mail
eagle,1F985,🦅,Animals & Nature,animal-bird
ear,1F442,👂,People & Body,body-parts
sheaf of rice,1F33E,🌾,Animals & Nature,plant-other
ear with hearing aid,1F9BB,🦻,People & Body,body-parts
globe showing Europe-Africa,1F30D,🌍,Travel & Places,place-map
globe showing Americas,1F30E,🌎,Travel & Places,place-map
globe showing Asia-Australia,1F30F,🌏,Travel & Places,place-map
egg,1F95A,🥚,Food & Drink,food-prepared
eggplant,1F346,🍆,Food & Drink,food-vegetable
keycap: 8,0038 20E3,8⃣,Symbols,keycap
eight-pointed star,2734,✴,Symbols,other-symbol
eight-spoked asterisk,2733,✳,Symbols,other-symbol
eject button,23CF,⏏,Symbols,av-symbol
electric plug,1F50C,🔌,Objects,computer
elephant,1F418,🐘,Animals & Nature,animal-mammal
elf,1F9DD,🧝,People & Body,person-fantasy
elf,1F9DD,🧝,People & Body,person-fantasy
elf,1F9DD,🧝,People & Body,person-fantasy
envelope,2709,✉,Objects,mail
END arrow,1F51A,🔚,Symbols,arrow
black flag,1F3F4,🏴,Flags,flag
envelope,2709,✉,Objects,mail
envelope with arrow,1F4E9,📩,Objects,mail
euro banknote,1F4B6,💶,Objects,money
castle,1F3F0,🏰,Travel & Places,place-building
post office,1F3E4,🏤,Travel & Places,place-building
evergreen tree,1F332,🌲,Animals & Nature,plant-other
exclamation mark,2757,❗,Symbols,other-symbol
exploding head,1F92F,🤯,Smileys & Emotion,face-unwell
expressionless face,1F611,😑,Smileys & Emotion,face-neutral-skeptical
eye,1F441,👁,People & Body,body-parts
left speech bubble,1F5E8,🗨,Smileys & Emotion,emotion
glasses,1F453,👓,Objects,clothing
eyes,1F440,👀,People & Body,body-parts
face with head-bandage,1F915,🤕,Smileys & Emotion,face-unwell
face with thermometer,1F912,🤒,Smileys & Emotion,face-unwell
person facepalming,1F926,🤦,People & Body,person-gesture
oncoming fist,1F44A,👊,People & Body,hand-fingers-closed
factory,1F3ED,🏭,Travel & Places,place-building
person,1F9D1,🧑,People & Body,person
fairy,1F9DA,🧚,People & Body,person-fantasy
fairy,1F9DA,🧚,People & Body,person-fantasy
fairy,1F9DA,🧚,People & Body,person-fantasy
falafel,1F9C6,🧆,Food & Drink,food-prepared
fallen leaf,1F342,🍂,Animals & Nature,plant-other
family,1F46A,👪,People & Body,family
boy,1F466,👦,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
boy,1F466,👦,People & Body,person
girl,1F467,👧,People & Body,person
person,1F9D1,🧑,People & Body,person
fast-forward button,23E9,⏩,Symbols,av-symbol
fax machine,1F4E0,📠,Objects,phone
fearful face,1F628,😨,Smileys & Emotion,face-concerned
paw prints,1F43E,🐾,Animals & Nature,animal-mammal
detective,1F575,🕵,People & Body,person-role
female sign,2640,♀,Symbols,gender
ferris wheel,1F3A1,🎡,Travel & Places,place-other
ferry,26F4,⛴,Travel & Places,transport-water
field hockey,1F3D1,🏑,Activities,sport
file cabinet,1F5C4,🗄,Objects,office
file folder,1F4C1,📁,Objects,office
film projector,1F4FD,📽,Objects,light & video
film frames,1F39E,🎞,Objects,light & video
fire,1F525,🔥,Travel & Places,sky & weather
fire engine,1F692,🚒,Travel & Places,transport-ground
fire extinguisher,1F9EF,🧯,Objects,household
firecracker,1F9E8,🧨,Activities,event
person,1F9D1,🧑,People & Body,person
fireworks,1F386,🎆,Activities,event
first quarter moon,1F313,🌓,Travel & Places,sky & weather
first quarter moon face,1F31B,🌛,Travel & Places,sky & weather
fish,1F41F,🐟,Animals & Nature,animal-marine
fish cake with swirl,1F365,🍥,Food & Drink,food-asian
fishing pole,1F3A3,🎣,Activities,sport
raised fist,270A,✊,People & Body,hand-fingers-closed
left-facing fist,1F91B,🤛,People & Body,hand-fingers-closed
oncoming fist,1F44A,👊,People & Body,hand-fingers-closed
raised fist,270A,✊,People & Body,hand-fingers-closed
right-facing fist,1F91C,🤜,People & Body,hand-fingers-closed
keycap: 5,0035 20E3,5⃣,Symbols,keycap
carp streamer,1F38F,🎏,Activities,event
flamingo,1F9A9,🦩,Animals & Nature,animal-bird
flashlight,1F526,🔦,Objects,light & video
flat shoe,1F97F,🥿,Objects,clothing
fleur-de-lis,269C,⚜,Symbols,other-symbol
airplane arrival,1F6EC,🛬,Travel & Places,transport-air
airplane departure,1F6EB,🛫,Travel & Places,transport-air
dolphin,1F42C,🐬,Animals & Nature,animal-marine
floppy disk,1F4BE,💾,Objects,computer
flower playing cards,1F3B4,🎴,Activities,game
flushed face,1F633,😳,Smileys & Emotion,face-concerned
flying disc,1F94F,🥏,Activities,sport
flying saucer,1F6F8,🛸,Travel & Places,transport-air
fog,1F32B,🌫,Travel & Places,sky & weather
foggy,1F301,🌁,Travel & Places,place-other
foot,1F9B6,🦶,People & Body,body-parts
american football,1F3C8,🏈,Activities,sport
footprints,1F463,👣,People & Body,person-symbol
fork and knife,1F374,🍴,Food & Drink,dishware
fortune cookie,1F960,🥠,Food & Drink,food-asian
fountain,26F2,⛲,Travel & Places,place-other
fountain pen,1F58B,🖋,Objects,writing
keycap: 4,0034 20E3,4⃣,Symbols,keycap
four leaf clover,1F340,🍀,Animals & Nature,plant-other
fox,1F98A,🦊,Animals & Nature,animal-mammal
framed picture,1F5BC,🖼,Activities,arts & crafts
FREE button,1F193,🆓,Symbols,alphanum
cooking,1F373,🍳,Food & Drink,food-prepared
fried shrimp,1F364,🍤,Food & Drink,food-asian
french fries,1F35F,🍟,Food & Drink,food-prepared
frog,1F438,🐸,Animals & Nature,animal-amphibian
frowning face with open mouth,1F626,😦,Smileys & Emotion,face-concerned
frowning face,2639,☹,Smileys & Emotion,face-concerned
person frowning,1F64D,🙍,People & Body,person-gesture
person frowning,1F64D,🙍,People & Body,person-gesture
person frowning,1F64D,🙍,People & Body,person-gesture
middle finger,1F595,🖕,People & Body,hand-single-finger
fuel pump,26FD,⛽,Travel & Places,transport-ground
full moon,1F315,🌕,Travel & Places,sky & weather
full moon face,1F31D,🌝,Travel & Places,sky & weather
funeral urn,26B1,⚱,Objects,other-object
game die,1F3B2,🎲,Activities,game
garlic,1F9C4,🧄,Food & Drink,food-vegetable
gear,2699,⚙,Objects,tool
gem stone,1F48E,💎,Objects,clothing
Gemini,264A,♊,Symbols,zodiac
genie,1F9DE,🧞,People & Body,person-fantasy
genie,1F9DE,🧞,People & Body,person-fantasy
genie,1F9DE,🧞,People & Body,person-fantasy
ghost,1F47B,👻,Smileys & Emotion,face-costume
wrapped gift,1F381,🎁,Activities,event
heart with ribbon,1F49D,💝,Smileys & Emotion,emotion
giraffe,1F992,🦒,Animals & Nature,animal-mammal
girl,1F467,👧,People & Body,person
globe with meridians,1F310,🌐,Travel & Places,place-map
gloves,1F9E4,🧤,Objects,clothing
goal net,1F945,🥅,Activities,sport
goat,1F410,🐐,Animals & Nature,animal-mammal
goggles,1F97D,🥽,Objects,clothing
flag in hole,26F3,⛳,Activities,sport
person golfing,1F3CC,🏌,People & Body,person-sport
person golfing,1F3CC,🏌,People & Body,person-sport
person golfing,1F3CC,🏌,People & Body,person-sport
gorilla,1F98D,🦍,Animals & Nature,animal-mammal
grapes,1F347,🍇,Food & Drink,food-fruit
green apple,1F34F,🍏,Food & Drink,food-fruit
green book,1F4D7,📗,Objects,book-paper
green circle,1F7E2,🟢,Symbols,geometric
green heart,1F49A,💚,Smileys & Emotion,emotion
green salad,1F957,🥗,Food & Drink,food-prepared
green square,1F7E9,🟩,Symbols,geometric
white exclamation mark,2755,❕,Symbols,other-symbol
